,EOSUSDT,GLMRUSDT,spread,zscore
116,0.574,0.17155,-0.004123500000000058,-1.8439746632409029
117,0.573,0.17005,-6.85000000001379e-05,-0.5738226057124084
118,0.574,0.17006,0.0008977999999999486,-0.2541576915950557
119,0.575,0.17075,-0.0004275000000001361,-0.6138867414464624
120,0.575,0.17085,-0.0007645000000000568,-0.6699728959474458
121,0.576,0.1704,0.0017519999999999758,0.26298832216767665
122,0.572,0.17015,-0.0014055000000000595,-0.8515549778959142
123,0.574,0.17014,0.0006281999999998567,-0.011531873979217431
124,0.577,0.17112,0.00032559999999992595,-0.010738305840055234
125,0.575,0.17128,-0.0022136000000000378,-1.2406376549536202
126,0.575,0.17065,-9.050000000010439e-05,0.20675415675060835
127,0.574,0.1703,8.899999999989472e-05,0.37122257369902384
128,0.579,0.17103,0.002628899999999934,1.7707173738820263
129,0.577,0.17166,-0.001494200000000112,-0.7440310127388117
130,0.577,0.17025,0.0032574999999999132,1.782069480090555
131,0.577,0.17064,0.0019432000000000338,1.032604746670135
132,0.568,0.16883,-0.000957100000000044,-0.777534207823866
133,0.568,0.16827,0.0009300999999999338,0.40896929171162083
134,0.568,0.16813,0.001401899999999956,0.6243834305966351
135,0.568,0.16868,-0.00045160000000010747,-0.5510547463838303
136,0.569,0.1685,0.001154999999999906,0.49525943341001605
137,0.566,0.16841,-0.0015417000000000902,-1.220187905780626
138,0.566,0.16776,0.0006488000000000049,0.17409528476202588
139,0.564,0.16752,-0.000542400000000054,-0.5414817493534937
140,0.569,0.16777,0.003615099999999871,1.777095914201665
141,0.568,0.16782,0.0024465999999999655,0.9357274535166598
142,0.567,0.16835,-0.0003395000000000481,-0.6989455766104145
143,0.566,0.16844,-0.0016428000000000553,-1.2709523868732717
144,0.568,0.16751,0.003491299999999975,1.4513603425199784
145,0.566,0.16788,0.00024439999999992246,-0.26882911885133515
146,0.568,0.16752,0.0034575999999999496,1.4857445913970386
147,0.566,0.16803,-0.0002611000000001251,-0.6287472672319143
148,0.566,0.16643,0.005130899999999938,1.9335316301367989
149,0.564,0.16614,0.004108199999999895,1.268276543177389
150,0.564,0.16641,0.0031982999999998762,0.7491875517731185
151,0.565,0.16605,0.0054114999999999025,1.4822931203273173
152,0.557,0.16412,0.003915600000000019,0.7556666911393687
153,0.555,0.16443,0.0008709000000000078,-0.5884120075942734
154,0.558,0.16421,0.004612300000000014,0.9311237800417361
155,0.558,0.165,0.0019500000000000073,-0.22268402449601185
156,0.553,0.16422,-0.0004214000000000162,-1.151066006241081
157,0.555,0.16443,0.0008709000000000078,-0.6501870857987577
158,0.561,0.16589,0.001950699999999972,-0.3148747415673037
159,0.564,0.16565,0.0057594999999999175,1.4338851117041298
160,0.563,0.16534,0.005804199999999926,1.2668590896880572
161,0.563,0.1667,0.0012209999999999166,-0.7848959466941645
162,0.563,0.16703,0.00010889999999985633,-1.3257952383458262
163,0.565,0.16761,0.0001542999999999406,-1.1371435799209582
164,0.566,0.1679,0.00017699999999998273,-0.9857939913809507
165,0.568,0.16855,-1.3500000000110646e-05,-0.946182274178484
