,sym1,sym2,p_value,t_value,c_value,hedge_ratio,zero_crossings
49,10000NFTUSDT,ANKRUSDT,0.02,-3.68,-3.37,0.19,5
5765,RADUSDT,RUNEUSDT,0.0,-4.72,-3.37,0.77,5
151,10000NFTUSDT,IOTAUSDT,0.01,-4.07,-3.37,0.02,5
832,ALPHAUSDT,PHBUSDT,0.04,-3.39,-3.37,0.14,5
3050,DOTUSDT,KSMUSDT,0.0,-4.58,-3.37,0.22,5
1578,BNTUSDT,WLDUSDT,0.02,-3.72,-3.37,0.33,5
5260,OGNUSDT,FLRUSDT,0.01,-3.82,-3.37,8.12,5
5751,RADUSDT,IOTAUSDT,0.01,-3.97,-3.37,8.39,5
1573,BNTUSDT,GLMRUSDT,0.03,-3.55,-3.37,2.42,5
6181,STGUSDT,AUCTIONUSDT,0.0,-5.73,-3.37,0.1,5
4897,MINAUSDT,BATUSDT,0.01,-3.96,-3.37,2.21,5
1564,BNBUSDT,TONUSDT,0.04,-3.42,-3.37,100.4,5
6234,STGUSDT,FILUSDT,0.0,-5.38,-3.37,0.14,5
3089,DUSKUSDT,TLMUSDT,0.02,-3.64,-3.37,11.33,5
1504,BANDUSDT,BAKEUSDT,0.0,-4.22,-3.37,9.65,5
822,ALPHAUSDT,MANAUSDT,0.01,-3.93,-3.37,0.27,5
5739,RADUSDT,AUCTIONUSDT,0.01,-3.9,-3.37,0.28,5
5693,QNTUSDT,STORJUSDT,0.01,-4.1,-3.37,263.7,5
3017,DOGEUSDT,STORJUSDT,0.01,-3.86,-3.37,0.18,5
1577,BNTUSDT,SXPUSDT,0.02,-3.68,-3.37,1.52,5
6186,STGUSDT,BAKEUSDT,0.0,-5.59,-3.37,4.35,5
5498,ORDIUSDT,PROMUSDT,0.02,-3.74,-3.37,0.86,5
6194,STGUSDT,BNBUSDT,0.0,-5.29,-3.37,0.0,5
4939,MINAUSDT,RDNTUSDT,0.04,-3.41,-3.37,1.79,5
5769,RADUSDT,TRUUSDT,0.0,-4.21,-3.37,38.73,5
6224,STGUSDT,DUSKUSDT,0.0,-5.57,-3.37,4.09,5
4908,MINAUSDT,CVCUSDT,0.01,-3.85,-3.37,5.35,5
6226,STGUSDT,EDUUSDT,0.0,-5.8,-3.37,1.07,5
3023,DOGEUSDT,TRXUSDT,0.0,-4.15,-3.37,0.75,5
55,10000NFTUSDT,ARKMUSDT,0.01,-3.78,-3.37,0.01,5
63,10000NFTUSDT,AUDIOUSDT,0.01,-3.91,-3.37,0.02,5
4906,MINAUSDT,COREUSDT,0.04,-3.44,-3.37,0.85,5
1631,BOBAUSDT,FITFIUSDT,0.02,-3.6,-3.37,35.17,5
5767,RADUSDT,STORJUSDT,0.01,-3.89,-3.37,3.83,5
4943,MINAUSDT,ROSEUSDT,0.03,-3.48,-3.37,9.39,5
2501,CTCUSDT,MCUSDT,0.0,-4.74,-3.37,0.5,5
4921,MINAUSDT,KASUSDT,0.01,-3.85,-3.37,8.05,5
759,ALPACAUSDT,IMXUSDT,0.0,-5.22,-3.37,0.26,5
6180,STGUSDT,ATOMUSDT,0.0,-5.6,-3.37,0.07,5
851,ALPHAUSDT,XLMUSDT,0.05,-3.38,-3.37,0.64,5
4888,MINAUSDT,ALGOUSDT,0.05,-3.37,-3.37,4.02,5
769,ALPACAUSDT,TONUSDT,0.0,-4.45,-3.37,0.06,5
3095,DYDXUSDT,CVCUSDT,0.0,-4.17,-3.37,27.6,5
1565,BNBUSDT,USDCUSDT,0.0,-4.24,-3.37,213.38,5
2802,CYBERUSDT,SSVUSDT,0.0,-4.51,-3.37,0.32,5
1505,BANDUSDT,CVXUSDT,0.01,-3.8,-3.37,0.41,5
5528,PROMUSDT,TONUSDT,0.0,-4.13,-3.37,1.85,5
5273,OGNUSDT,KLAYUSDT,0.02,-3.68,-3.37,0.77,5
5728,QTUMUSDT,BUSDUSDT,0.04,-3.39,-3.37,2.14,5
6208,STGUSDT,COMPUSDT,0.0,-5.18,-3.37,0.01,5
2793,CYBERUSDT,RUNEUSDT,0.0,-4.3,-3.37,2.91,5
4920,MINAUSDT,JSTUSDT,0.01,-3.78,-3.37,17.58,5
1747,BSWUSDT,CKBUSDT,0.04,-3.39,-3.37,23.18,4
50,10000NFTUSDT,ANTUSDT,0.01,-3.94,-3.37,0.0,4
835,ALPHAUSDT,RSRUSDT,0.04,-3.44,-3.37,40.89,4
6162,STGUSDT,AKROUSDT,0.0,-5.66,-3.37,42.38,4
4969,NEARUSDT,AXSUSDT,0.02,-3.74,-3.37,0.25,4
6621,TWTUSDT,FLOWUSDT,0.0,-5.33,-3.37,1.84,4
5180,OCEANUSDT,RSRUSDT,0.01,-3.83,-3.37,167.74,4
5139,OCEANUSDT,KEYUSDT,0.02,-3.65,-3.37,55.89,4
4899,MINAUSDT,BNTUSDT,0.04,-3.45,-3.37,0.93,4
857,ALPHAUSDT,ZRXUSDT,0.0,-4.5,-3.37,0.43,4
1567,BNTUSDT,CHZUSDT,0.02,-3.61,-3.37,7.04,4
5223,OCEANUSDT,ZRXUSDT,0.0,-4.87,-3.37,1.77,4
1732,BSWUSDT,ANTUSDT,0.05,-3.37,-3.37,0.01,4
2080,CEEKUSDT,MTLUSDT,0.03,-3.49,-3.37,0.03,4
7178,YFIIUSDT,KEYUSDT,0.01,-4.05,-3.37,75855.7,4
1424,AVAXUSDT,MTLUSDT,0.01,-4.1,-3.37,6.65,4
2854,DARUSDT,CVCUSDT,0.03,-3.57,-3.37,1.23,4
5166,OCEANUSDT,OXTUSDT,0.03,-3.48,-3.37,4.69,4
4006,GPTUSDT,HIFIUSDT,0.03,-3.56,-3.37,0.01,4
2505,CTCUSDT,MTLUSDT,0.0,-4.65,-3.37,0.11,4
4617,LINAUSDT,AXSUSDT,0.02,-3.69,-3.37,0.0,4
1788,BSWUSDT,MTLUSDT,0.04,-3.38,-3.37,0.04,4
6495,TLMUSDT,BNTUSDT,0.03,-3.53,-3.37,0.02,4
1008,APEUSDT,MTLUSDT,0.05,-3.37,-3.37,0.81,4
5464,OPUSDT,RENUSDT,0.04,-3.38,-3.37,29.34,4
4051,GPTUSDT,MTLUSDT,0.01,-3.99,-3.37,0.01,4
2175,CELRUSDT,KEYUSDT,0.0,-4.39,-3.37,2.03,4
2649,CYBERUSDT,AUCTIONUSDT,0.0,-4.33,-3.37,1.06,4
5893,RNDRUSDT,RENUSDT,0.03,-3.57,-3.37,33.38,4
4822,LUNA2USDT,MTLUSDT,0.03,-3.55,-3.37,0.28,4
6297,STGUSDT,MTLUSDT,0.0,-5.77,-3.37,0.33,4
5444,OPUSDT,KNCUSDT,0.02,-3.69,-3.37,2.44,4
3271,ETHWUSDT,ANTUSDT,0.01,-3.78,-3.37,0.31,4
6561,TWTUSDT,1INCHUSDT,0.0,-4.79,-3.37,3.26,4
1807,BSWUSDT,SWEATUSDT,0.03,-3.5,-3.37,8.84,4
1017,APEUSDT,OXTUSDT,0.01,-4.06,-3.37,16.86,4
452,1000LUNCUSDT,MTLUSDT,0.04,-3.4,-3.37,0.04,4
6674,TWTUSDT,OXTUSDT,0.0,-4.24,-3.37,11.86,4
5054,NMRUSDT,HIFIUSDT,0.02,-3.7,-3.37,9.88,4
2616,CVXUSDT,RADUSDT,0.01,-3.87,-3.37,1.87,4
5081,OCEANUSDT,BADGERUSDT,0.01,-3.9,-3.37,0.15,4
5080,OCEANUSDT,AXSUSDT,0.01,-3.82,-3.37,0.07,4
6660,TWTUSDT,MANAUSDT,0.0,-4.29,-3.37,2.77,4
710,ALICEUSDT,KSMUSDT,0.0,-4.68,-3.37,0.04,4
5928,RPLUSDT,RUNEUSDT,0.04,-3.45,-3.37,12.85,3
3071,DOTUSDT,VETUSDT,0.02,-3.73,-3.37,240.94,3
3062,DOTUSDT,RUNEUSDT,0.0,-4.3,-3.37,2.34,3
1930,C98USDT,BAKEUSDT,0.01,-3.8,-3.37,1.28,3
3944,GPTUSDT,BAKEUSDT,0.0,-10.62,-3.37,0.09,3
6829,VGXUSDT,KNCUSDT,0.0,-5.01,-3.37,0.23,3
5924,RPLUSDT,COREUSDT,0.02,-3.62,-3.37,50.33,3
6821,VGXUSDT,FORTHUSDT,0.03,-3.47,-3.37,0.05,3
6841,VGXUSDT,MKRUSDT,0.0,-5.18,-3.37,0.0,3
7191,YFIIUSDT,LTCUSDT,0.0,-4.53,-3.37,6.74,3
1482,BALUSDT,MKRUSDT,0.04,-3.46,-3.37,0.0,3
5111,OCEANUSDT,EGLDUSDT,0.0,-5.21,-3.37,0.01,3
6815,VGXUSDT,EGLDUSDT,0.0,-4.96,-3.37,0.01,3
211,10000NFTUSDT,RUNEUSDT,0.01,-3.81,-3.37,0.0,3
3493,FLRUSDT,1INCHUSDT,0.03,-3.58,-3.37,0.05,3
2646,CYBERUSDT,ASTRUSDT,0.0,-4.76,-3.37,96.43,3
5639,QNTUSDT,KLAYUSDT,0.01,-3.82,-3.37,768.62,3
6852,VGXUSDT,RUNEUSDT,0.0,-5.13,-3.37,0.07,3
3185,EOSUSDT,FLRUSDT,0.03,-3.48,-3.37,49.74,3
6822,VGXUSDT,GMTUSDT,0.0,-4.12,-3.37,0.84,3
6856,VGXUSDT,STORJUSDT,0.0,-4.96,-3.37,0.37,3
5754,RADUSDT,KNCUSDT,0.0,-4.33,-3.37,2.39,3
1603,BOBAUSDT,ATOMUSDT,0.01,-3.79,-3.37,0.02,3
3464,FILUSDT,EGLDUSDT,0.04,-3.45,-3.37,0.13,3
6827,VGXUSDT,JSTUSDT,0.0,-5.34,-3.37,5.96,3
6835,VGXUSDT,MAGICUSDT,0.0,-4.68,-3.37,0.27,3
5709,QNTUSDT,VETUSDT,0.0,-4.23,-3.37,5444.38,3
673,ALICEUSDT,AKROUSDT,0.0,-4.16,-3.37,69.4,3
3469,FILUSDT,RENUSDT,0.04,-3.44,-3.37,69.88,3
1092,API3USDT,CVXUSDT,0.01,-4.01,-3.37,0.42,3
1089,API3USDT,COREUSDT,0.0,-4.12,-3.37,2.38,3
465,1000PEPEUSDT,ORDIUSDT,0.0,-4.33,-3.37,0.0,3
4224,ICPUSDT,RUNEUSDT,0.04,-3.45,-3.37,1.71,3
4151,HIGHUSDT,NEARUSDT,0.01,-3.94,-3.37,1.2,3
5333,OGUSDT,MKRUSDT,0.03,-3.54,-3.37,0.0,3
37,10000NFTUSDT,1INCHUSDT,0.02,-3.72,-3.37,0.01,3
5618,QNTUSDT,GRTUSDT,0.01,-4.07,-3.37,1094.68,3
3416,ETHWUSDT,STORJUSDT,0.01,-3.87,-3.37,3.74,3
7153,YFIIUSDT,GLMUSDT,0.0,-4.46,-3.37,2510.33,3
4492,IMXUSDT,TONUSDT,0.03,-3.47,-3.37,0.24,3
6750,UNIUSDT,TONUSDT,0.02,-3.76,-3.37,2.02,3
650,AKROUSDT,XTZUSDT,0.0,-4.11,-3.37,0.02,3
1608,BOBAUSDT,BCHUSDT,0.04,-3.41,-3.37,0.0,3
3027,DOGEUSDT,VETUSDT,0.01,-3.78,-3.37,3.65,3
1219,APTUSDT,RUNEUSDT,0.03,-3.59,-3.37,2.98,3
5981,SLPUSDT,ACHUSDT,0.0,-5.28,-3.37,0.09,3
649,AKROUSDT,XRPUSDT,0.04,-3.44,-3.37,0.02,3
1682,BOBAUSDT,WOOUSDT,0.04,-3.43,-3.37,0.71,3
5615,QNTUSDT,GLMUSDT,0.01,-4.09,-3.37,541.5,3
1200,APTUSDT,FLRUSDT,0.0,-4.4,-3.37,458.15,3
4133,HBARUSDT,VGXUSDT,0.01,-4.07,-3.37,0.39,3
